title;minutes;date;views
How to Use dnSpy to Reverse Engineer Unity Games [ TUNIC ];0:31:11;2021-10-12;13651
Far Cry 6 Cheats - Infinite Health and Stamina [ Cheat Engine Tutorial];0:21:58;2021-10-07;6257
Far Cry 6 Cheats - Infinite Ammo [ Cheat Engine Tutorial ];0:12:26;2021-10-07;9300
The ULTIMATE Cheat Engine Hotkey Device: Stream Deck XL from Elgato!;0:12:24;2021-09-28;2378
Cheat Engine: Using Many Results from One AOB Scan in Lua! [ Bowsette ];0:29:14;2021-09-27;5809
Cheat Engine Tutorial: Writing Custom Values to Game Memory [ Together VR ];0:11:02;2021-09-26;2864
Cyberpunk 2077 Cheats - Fix Broken Cheats from Game Updates (Cheat Engine Tutorial / Trainer);0:11:31;2020-12-11;9221
Cyberpunk 2077 Cheats - No Carry Weight (Cheat Engine Tutorial / Trainer);0:13:12;2020-12-11;5714
Cyberpunk 2077 Cheats - Max Street Cred (Cheat Engine Tutorial / Trainer);0:15:13;2020-12-10;28042
Cyberpunk 2077 Cheats - Instant Max Levels (Cheat Engine Tutorial / Trainer);0:25:54;2020-12-10;61284
Cyberpunk 2077 Cheats - Infinite Perk and Attribute Points (Cheat Engine Tutorial / Trainer);0:08:03;2020-12-10;67115
Cyberpunk 2077 Cheats - Infinite Health (Cheat Engine Tutorial / Trainer);0:13:02;2020-12-09;12412
Cyberpunk 2077 Cheats - Infinite Ammo (Cheat Engine Tutorial / Trainer);0:08:01;2020-12-09;9125
Cyberpunk 2077 Cheats - Infinite Money (Cheat Engine Tutorial / Trainer);0:08:02;2020-12-09;29669
Cyberpunk 2077 Cheats - Cheat Engine for Beginners (How to Use Cheat Tables);0:09:13;2020-12-09;41188
Let's Enhance the Game - Ep. 1: Adding a Photo Mode from Scratch [Streets of Rage 4];1:00:47;2020-05-01;5606
Streets of Rage 4 - Photo Mode (Work In Progress Demo);0:01:35;2020-04-30;1511
GameHacking Talks: Lighting Objects Demystified [She Will Punish Them];0:13:46;2020-04-28;4641
Game-Hacking Tutorial: How to Find Character XYZ Scaling with Cheat Engine [Trials of Mana];0:25:15;2020-04-26;10856
How I Broke The Witcher III (New Speedrun Tech?);0:05:58;2020-01-20;6034
WebHackery Ep. 3: Instagram Hacks via the MutationObserver API! (JavaScript, DevTools, and More);0:46:35;2019-11-17;12173
The Outer Worlds Cheats - Infinite Bits! [PC];0:04:40;2019-10-25;15441
The Outer Worlds Cheats - Infinite XP / Instant Max Level! [PC];0:04:14;2019-10-24;32730
The Outer Worlds Cheats - Infinite Health and OHKs! [PC];0:09:38;2019-10-24;3838
The Outer Worlds Cheats - Infinite Ammo [PC];0:08:24;2019-10-24;4922
The Future of My Channel: An Important Update;0:11:54;2019-10-08;2114
How to Make a FlyCam from Scratch - Part 3: How to Pause a Game World;0:12:41;2019-10-05;2233
How to Make a FlyCam from Scratch - Part 2: Creating a Lua FlyCam Script;0:22:38;2019-10-05;2281
How to Make a FlyCam from Scratch - Part 1: Coordinates, Rotation, and More!;1:12:41;2019-10-05;7913
Borderlands 3 Data Mining - Hidden Bloody Harvest Event References!;0:03:44;2019-09-17;5076
Borderlands 3 Cheats - Infinite Golden Keys (Method 2)!;0:02:19;2019-09-15;44526
Borderlands 3 Cheats - Infinite Backpack Slots!;0:07:38;2019-09-15;12211
Borderlands 3 Cheat Engine for Beginners (How to Use Cheat Tables);0:09:38;2019-09-15;113920
Borderlands 3 Mods - Moxxxi's Mod!;0:01:50;2019-09-15;29642
Borderlands 3 Mods - Giant Claptrap! (Coming Soon...);0:01:18;2019-09-14;2889
Borderlands 3 Cheats - 1.4 BILLION Golden Keys!;0:01:59;2019-09-13;80975
Borderlands 3 Cheats - Infinite Eridium!;0:02:32;2019-09-13;25699
Borderlands 3 Cheats - Instant Max Level and 999999 Skill Points!;0:05:42;2019-09-13;111297
Borderlands 3 Cheats - Intro Skip and Speedhack!;0:02:42;2019-09-12;21813
Borderlands 3 Cheats - Infinite Ammo!;0:06:51;2019-09-12;11231
Borderlands 3 Cheats - Infinite Health!;0:12:19;2019-09-12;12625
Borderlands 3 Cheats - Infinite Money!;0:03:25;2019-09-12;40372
Let's Hack: Mega Man 11 - Infinite Jumps and Invincibility (No Collision)!;0:21:07;2019-09-08;5740
WebHackery Ep. 2: Let's Defeat News Article Blockers! (JavaScript, DevTools, and More);0:23:15;2019-08-31;4235
The Caligula Effect: Overdose - Modding Tool Demonstration!;0:06:11;2019-03-24;3187
How to Open MSI (Microsoft Installer) Files with Orca!;0:08:39;2019-03-23;8035
WebHackery Ep. 1: Let's Defeat an Adblock Blocker! (DOM Manipulation with jQuery and JavaScript);0:32:55;2019-03-18;4683
Game Hacking Tutorial: Advanced Key-Press Tracing and Handling in Unity Games with Cheat Engine!;0:38:07;2019-03-11;13767
dnSpy Tutorial: How to Find and Change KeyPress Functionality in Unity Games!;0:37:04;2019-03-09;17517
Cheat Engine Tutorial: How to Store all Shared Instruction Addresses!;0:11:50;2019-03-05;4840
SNK Heroines: Mod Tool Demonstration!;0:09:23;2019-03-05;16859
Cheat Engine Tutorial: How to Convert AA Scripts to Lua and Obfuscate Trainer Data! [Terraria];0:31:44;2019-02-04;12652
Lua Tutorial: How to Make an Auto-Clicker in Lua with Cheat Engine! (Sakura Clicker);0:26:03;2019-01-30;14870
Lua Tutorial: Coding a Trainer from Scratch in Cheat Engine! [Terraria];1:00:03;2019-01-26;45044
CHANNEL UPDATE/ROADMAP FOR 2019;0:09:44;2018-12-11;932
Darksiders III: FreeCam/FlyCam Mod (Work in Progress);0:11:16;2018-11-29;2288
MY CHANNEL WAS TERMINATED! =(;0:12:07;2018-11-21;4056
Swarmlake: Time Freeze Hack (Proof of Concept);0:02:28;2018-11-04;1361
Dragon Quest XI - Advanced PhotoMode/FlyCam Mod Demo;0:15:01;2018-09-30;3914
Cheat Engine Tutorial - Demystifying Memory, AA Scripts, and More!;0:44:10;2018-09-17;7785
Dragon Quest XI: FlyCam / FreeCam Hack (Work in progress...);0:04:38;2018-09-07;1567
Monster Hunter World: FreeCam / FlyCam Hack (Work in progress...);0:03:15;2018-08-11;3857
No Man's Sky NEXT Cheats: Part 1 - Infinite Units, Nanite Clusters, and Quicksilver [Cheat Engine];0:12:06;2018-08-06;55167
How to Hack the 'My Friend Pedro' Page on NewGrounds.com (jQuery, Tampermonkey, and Chrome DevTools);0:14:36;2018-06-18;5054
How to Hack Flash Games in Chrome with Cheat Engine [Game: MFP - My Friend Pedro (2014)];0:12:30;2018-06-18;63773
How to Hack WebAssembly Games in Firefox with Cheat Engine! [Funky Karts];0:11:53;2018-06-18;21890
How to Hack Websites with Chrome Dev Tools, Tampermonkey, and jQuery!;0:34:21;2018-06-16;97900
How to Solve Cheat Engine 6.8's New Game Tutorial!;0:23:43;2018-06-07;23163
