title;minutes;date;views
Ask Me Anything (AMA) with GitLens Creator: Eric Amodio;0:35:12;2022-05-19;1412
Tell me you're a developer;0:00:20;2022-05-19;7706
C++ arrays can be weird...;0:00:45;2022-05-17;12455
"have you ever heard of ""LOLCODE"" programming language?";0:00:48;2022-05-17;7225
A first look at pyscript;0:00:59;2022-05-15;51368
Command Prompt Face lift..;0:00:55;2022-05-12;10280
A Quick Guide to Machine Learning;0:58:26;2022-05-12;5679
VS Code April 2022 Release Highlights (1.67);0:00:59;2022-05-10;10922
Stop wasting memory in your Pandas DataFrame!;0:04:59;2022-05-10;4218
Preview.js in VS Code 🔎;0:00:24;2022-05-10;6854
When your dev team turns out to live in BIZARRO world...;0:01:00;2022-05-05;5630
VS Code 1.67 Release Party 🎉;0:35:49;2022-05-05;12656
ilovelamp.fun;0:00:58;2022-05-04;9984
🎵 Shift + Alt + F 🎵;0:00:12;2022-05-02;13157
Learn Visual Studio Code in 7min (Official Beginner Tutorial);0:07:16;2022-04-29;34374
Visual Studio Code & Git in 1 Minute;0:01:00;2022-04-27;15829
Is code coverage all that matters?;0:00:53;2022-04-26;18405
Pure Virtual C++ 2022;2:58:45;2022-04-26;4247
MORE programming horror ☠️☠️;0:00:58;2022-04-25;110524
Top Programming Languages to Learn Myth;0:00:55;2022-04-21;15999
TypeScript tips and Tricks with Matt;0:55:10;2022-04-21;64086
pushin 🅿️ with befunge;0:00:48;2022-04-20;5686
Nerd Fonts;0:00:44;2022-04-18;29286
How slow is iterating over a pandas DataFrame?;0:06:33;2022-04-18;2602
Accessibility on the top 1M websites;0:00:38;2022-04-18;12233
Do you enable file preview in VS Code?;0:00:36;2022-04-15;11917
JSON Data in VS Code with Depot Extension;0:42:21;2022-04-14;5401
File nesting ▶️🔽;0:00:26;2022-04-09;12650
March VS Code Release Highlights;0:00:57;2022-04-07;23325
VS Code 1.66 Release Party 🎉;0:47:52;2022-04-07;10753
What tutorials won't show you!;0:00:27;2022-04-05;7793
Jupyter Notebooks Tutorial: How to save a Matplotlib chart as an image with 1 click;0:02:03;2022-04-05;2692
What All Programmers Have in Common is...;0:00:17;2022-04-04;52725
The devil is in the details;0:00:28;2022-04-04;69010
VS Code, Azure ML, and GitHub Codespaces;0:57:53;2022-03-31;3415
The mouse betrays you...;0:00:07;2022-03-31;9355
Screenshot using Polacode 📸;0:00:30;2022-03-28;11118
Jupyter Notebooks Tutorial: How to put the legend outside the plot in Matplotlib;0:02:40;2022-03-28;1612
Big O Notation in 90 Seconds!;0:01:29;2022-03-25;5451
On-the-go coding on an iPad with Blink Shell and VS Code;1:00:34;2022-03-24;9195
Never Forget 4 OOP Tenets Again!;0:00:27;2022-03-23;7961
Command Palettes are literally everywhere;0:00:18;2022-03-22;43124
Preparing for a tech interview?;0:00:54;2022-03-21;11051
Building your own VS Code theme;0:38:26;2022-03-17;11920
Markdown on pi day 🥧;0:00:28;2022-03-14;9293
Jupyter Notebooks Tutorial: 3 easy ways to resize a figure with matplotlib;0:03:06;2022-03-14;2547
Talk the VS Code talk  💯;0:00:40;2022-03-13;12055
Emojis, unicode, and JavaScript 👩🏽‍💻;0:00:20;2022-03-11;75839
INDENT 🌈;0:00:11;2022-03-08;9729
Ever heard of Conventional Commits?;0:00:19;2022-03-04;19218
Help us help you help EVERYONE;0:00:22;2022-03-03;10169
How to do API Testing in VS Code;0:03:27;2022-03-03;28775
VS Code 2022 Keynote and GitLens;0:16:45;2022-03-03;3771
Set up a Laravel environment in VS Code with Dev Containers;0:03:54;2022-03-03;17049
Ruby, payments, and asynchronicity: a 5 minute deep dive;0:04:38;2022-03-03;405
On-the-go coding on an iPad with Blink Shell and VS Code;0:04:32;2022-03-03;32320
Python in VS Code;0:05:01;2022-03-03;10364
VS Code Day 2022 Live Event;1:30:07;2022-03-03;12366
Create a resume website in your browser with VS Code and GitHub Pages;0:04:59;2022-03-03;26897
VS Code for the Web: vscode.dev;0:05:02;2022-03-03;15948
A special VS Code Day PSA;0:00:29;2022-03-02;6956
Ever heard of ErrorLens?;0:00:23;2022-02-28;58059
How do you “back up” code?;0:00:57;2022-02-24;30099
Java in VS Code;0:56:48;2022-02-24;12318
Undo EVERYTHING;0:00:36;2022-02-23;26628
Welp, there's a live site incident but I only got my iPad with me… 😱;0:13:47;2022-02-23;3420
Tomorrow is NOT just another day 🕝;0:02:00;2022-02-17;100986
Wordle themes! 🟩🟨⬜️;0:00:44;2022-02-17;49605
Using Laravel in VS Code (start quickly with a DevContainer);0:43:37;2022-02-17;5449
Ever heard of the “bracket” programming language?;0:00:41;2022-02-15;308748
What does the word “kubernetes” REALLY mean?;0:00:55;2022-02-11;16236
kubernetes explained in 17 seconds;0:00:16;2022-02-10;17311
Testing modern web apps with Playwright and VS Code;0:48:12;2022-02-10;10909
Double Shift!;0:00:15;2022-02-07;304659
VS Code 1.64 Release Party 🎉;0:46:07;2022-02-03;26274
Web devs - you need this launch config;0:00:29;2022-02-02;22304
More multiple cursor magic 🪄;0:00:55;2022-01-30;563812
Markdown 101 ✏️;0:01:20;2022-01-29;27821
📌 Pinned tabs;0:00:15;2022-01-27;115563
Getting started with Rust in VS Code;0:42:54;2022-01-27;11616
5 things I learned building a wordle clone;0:00:48;2022-01-25;114579
Easily format JavaScript dates;0:00:32;2022-01-22;137987
Create a resume website in your browser;0:36:00;2022-01-20;9798
Crazy CSS Made Easy;0:00:52;2022-01-19;84310
Log4Shell Explained - Part 2;0:00:56;2022-01-18;23482
Log4Shell Explained - Part 1;0:00:59;2022-01-18;32719
How to change the user in a dev container;0:01:05;2022-01-13;2573
Now THAT's a computer 💻;0:00:44;2022-01-13;35995
Asking an AI for New Year’s Resolutions;0:00:15;2022-01-10;159029
Using Laravel in VS Code (Start Quickly with a Dev Container! 📦);0:09:46;2022-01-10;3834
Coming back from vacation;0:00:07;2022-01-07;257360
(Live)Sharing is caring 😃;0:00:43;2022-01-05;26460
How to speed up npm install in a dev container;0:01:01;2022-01-05;3019
2 🧠 are better than 1;0:00:49;2022-01-03;27704
Note taking inside of VS Code;0:30:43;2021-12-16;84969
Preview all themes (new feature!) 🤹;0:00:30;2021-12-15;35745
Auto save to the rescue;0:00:25;2021-12-13;48458
Programming HORROR 💀;0:00:49;2021-12-09;1041549
VS Code 1.63 Release Party 🎉;0:41:57;2021-12-09;37357
.NET Notebook Surprise;0:00:34;2021-12-08;35784
Don't quit your job;0:00:33;2021-12-06;78019
The CSV Reading 🌈;0:00:18;2021-12-03;88612
Getting started with C++ in VS Code;0:32:03;2021-12-02;60238
Copy CSS as JS;0:00:25;2021-11-29;45057
1 click from browser to VS Code;0:00:27;2021-11-24;59902
Hashing, explained in 50 seconds;0:00:50;2021-11-22;18012
Turn a Notebook into a Slideshow with MARP!;0:00:58;2021-11-20;23745
Take screenshots with a device border the easy way;0:00:26;2021-11-18;8335
Using Docker containers in VS Code;0:37:05;2021-11-18;45237
How to do a C++;0:01:00;2021-11-17;17148
Did you know you can save a notebook as a gist?;0:00:28;2021-11-16;17908
How to speed up Remote-Containers on Windows;0:00:38;2021-11-15;3576
PART 2: Can you build AND deploy a website with nothing but an iPad?;0:00:58;2021-11-15;22562
PART 1: Can you build AND deploy a website with nothing but an iPad?;0:00:58;2021-11-15;16811
Setting up VS Code for Python Beginners 🐍;0:29:47;2021-11-12;47957
You can run Python…in your browser?;0:00:27;2021-11-11;80034
How do you remember all the keyboard shortcuts?;0:00:17;2021-11-10;26109
Data Science. No install required.;0:00:40;2021-11-09;19949
It's the little things that matter;0:00:42;2021-11-08;19734
How to change the default location of your project in a dev container;0:00:48;2021-11-08;5497
…what is that? 🐍👀;0:00:17;2021-11-07;247325
Fri-yay;0:00:19;2021-11-05;28314
VS Code 1.62 Release Party 🎉;0:32:02;2021-11-04;35059
You're 3 clicks away...;0:00:19;2021-11-03;65216
Hello, my name is…;0:00:51;2021-11-02;473581
10 keyboard shortcuts for *complete* beginners;0:01:17;2021-10-31;27661
Notebooks, Machine Learning, and MLOps;0:31:44;2021-10-28;30146
Split editor groups!;0:00:37;2021-10-27;25128
Future possibilities;0:00:40;2021-10-22;837777
How to work with Monorepos in a dev container;0:01:23;2021-10-22;6964
Copy functions. The easy way. So you won’t be sad.;0:00:22;2021-10-21;79915
VS Code for the Web: vscode.dev;1:00:01;2021-10-21;36464
To the Web 🚀;0:00:49;2021-10-20;46322
Why is it so hard to learn a new programming language?;0:00:27;2021-10-19;27465
Building a faster web with the Jamstack;0:32:17;2021-10-14;13826
Copy and paste from DevTools;0:00:24;2021-10-14;21982
Say you had a magic wand… 🪄;0:00:12;2021-10-13;12195
Ask the Expert: VS Code: Development in the Open;0:30:57;2021-10-12;10340
How to be a CSS 🥷;0:00:49;2021-10-07;70820
VS Code 1.61 Release Party 🎉;0:38:57;2021-10-07;25901
The best CSS framework;0:00:48;2021-10-06;89020
How to make your bash history persist in a dev container;0:01:24;2021-10-06;3171
Multicursor magic 🪄;0:00:38;2021-10-05;23102
Save your tabs!;0:00:25;2021-10-01;26729
Get started with Jupyter Notebooks in less than 4 minutes;0:03:48;2021-10-01;56448
